Checking account,Housing,Job,Purpose,Risk,Saving accounts,Sex,Credit_Duration_Ratio,Age_Group
No checking,own,2,furniture/equipment,good,rich,female,132.66666666666666,Adults
No checking,rent,1,furniture/equipment,good,No savings,female,145.73333333333332,Adults
little,own,2,furniture/equipment,bad,little,male,230.72222222222223,Mature-Seniors
little,rent,2,car,bad,little,male,164.0625,Mature-Seniors
No checking,own,2,car,good,No savings,male,174.25,Mature-Seniors
No checking,free,2,car,good,No savings,male,291.02777777777777,Mature-Seniors
No checking,rent,2,radio/TV,good,No savings,male,92.4,Mature-Seniors
No checking,own,3,radio/TV,good,little,male,53.25,Adults
little,rent,3,radio/TV,good,little,male,92.25,Young
little,own,1,car,good,No savings,male,179.1904761904762,Young
moderate,own,2,education,good,No savings,male,103.08333333333333,Young
No checking,own,1,car,good,little,female,239.6,Mature-Seniors
moderate,own,1,car,good,No savings,female,355.0,Adults
No checking,own,2,radio/TV,good,little,female,123.72222222222223,Adults
moderate,own,1,furniture/equipment,bad,little,female,197.33333333333334,Young
moderate,own,2,radio/TV,good,No savings,female,99.7,Young
No checking,own,2,business,good,rich,male,194.72727272727272,Young
little,rent,2,business,bad,little,male,131.70833333333334,Adults
moderate,own,3,vacation/others,bad,little,female,383.8333333333333,Adults
No checking,own,2,car,good,moderate,male,284.8,Adults
little,own,3,car,bad,little,male,2482.6666666666665,Mature-Seniors
little,own,2,furniture/equipment,bad,moderate,male,98.29166666666667,Adults
little,rent,3,furniture/equipment,bad,little,male,139.375,Adults
No checking,own,2,furniture/equipment,good,little,female,100.94444444444444,Young
No checking,own,3,radio/TV,good,quite rich,male,265.6041666666667,Adults
little,rent,2,radio/TV,bad,little,female,151.77777777777777,Young
moderate,rent,2,car,good,little,male,166.83333333333334,Adults
little,own,2,furniture/equipment,bad,little,male,286.3333333333333,Mature-Seniors
little,own,2,car,bad,little,male,58.083333333333336,Mature-Seniors
little,rent,2,furniture/equipment,good,little,female,58.27777777777778,Young
little,free,2,car,bad,little,male,214.52083333333334,Adults
No checking,own,2,radio/TV,good,No savings,male,62.233333333333334,Mature-Seniors
little,own,1,car,good,little,male,112.0,Mature-Seniors
little,own,1,furniture/equipment,good,little,male,72.79166666666667,Young
moderate,own,2,radio/TV,bad,little,female,185.55555555555554,Young
No checking,own,2,car,good,little,male,136.0,Adults
No checking,own,2,radio/TV,good,quite rich,male,43.5,Mature-Seniors
little,own,2,radio/TV,good,little,female,124.83333333333333,Young
moderate,own,3,radio/TV,bad,moderate,male,63.96666666666667,Adults
rich,own,1,radio/TV,bad,little,female,82.77777777777777,Young
moderate,rent,3,radio/TV,good,little,male,343.8333333333333,Adults
moderate,free,2,education,bad,little,male,104.8,Mature-Seniors
No checking,own,3,car,good,No savings,male,285.0833333333333,Mature-Seniors
No checking,own,3,car,good,No savings,male,293.9166666666667,Mature-Seniors
No checking,own,1,car,good,little,male,154.6,Adults
No checking,own,2,furniture/equipment,good,No savings,male,38.708333333333336,Adults
No checking,own,1,car,good,little,male,363.75,Mature-Seniors
little,rent,2,furniture/equipment,good,little,female,123.0,Mature-Seniors
moderate,own,2,car,good,quite rich,female,174.125,Adults
little,free,2,furniture/equipment,bad,quite rich,male,139.54166666666666,Adults
No checking,own,3,car,good,No savings,male,238.25,Adults
No checking,own,1,furniture/equipment,bad,little,male,85.16666666666667,Mature-Seniors
No checking,own,2,radio/TV,bad,moderate,male,150.875,Adults
moderate,own,0,business,good,little,male,199.44444444444446,Mature-Seniors
little,own,2,business,bad,little,male,59.583333333333336,Young
moderate,rent,2,car,bad,quite rich,female,171.375,Young
No checking,own,3,furniture/equipment,bad,little,female,304.8333333333333,Young
little,own,2,car,good,little,female,157.75,Young
little,rent,3,radio/TV,good,rich,female,51.291666666666664,Mature-Seniors
rich,own,1,radio/TV,good,No savings,male,121.86666666666666,Mature-Seniors
moderate,own,1,radio/TV,good,little,male,128.22222222222223,Adults
little,own,1,car,bad,little,male,143.07142857142858,Mature-Seniors
moderate,free,2,furniture/equipment,good,moderate,male,127.875,Adults
No checking,rent,2,radio/TV,good,little,male,290.0,Adults
moderate,own,2,car,good,little,male,112.04761904761905,Mature-Seniors
No checking,own,2,car,good,No savings,male,237.06666666666666,Young
No checking,own,2,radio/TV,bad,quite rich,male,99.875,Adults
moderate,own,1,repairs,good,little,male,75.66666666666667,Young
moderate,own,2,radio/TV,good,No savings,female,57.166666666666664,Young
moderate,own,1,radio/TV,bad,quite rich,male,93.33333333333333,Young
No checking,rent,3,radio/TV,good,little,female,237.86666666666667,Mature-Seniors
No checking,rent,2,radio/TV,good,No savings,male,170.61904761904762,Young
little,own,1,car,good,little,male,358.09090909090907,Mature-Seniors
moderate,own,2,repairs,good,moderate,male,100.93333333333334,Young
No checking,own,1,car,good,little,male,308.0416666666667,Mature-Seniors
little,rent,0,car,bad,little,female,49.708333333333336,Young
little,rent,2,business,bad,little,male,121.61666666666666,Adults
No checking,own,2,radio/TV,good,little,female,94.36666666666666,Adults
rich,own,1,radio/TV,good,quite rich,female,52.416666666666664,Mature-Seniors
moderate,own,2,radio/TV,good,little,female,125.5,Mature-Seniors
moderate,own,2,business,good,No savings,male,134.83333333333334,Mature-Seniors
No checking,own,1,car,bad,little,male,105.75,Mature-Seniors
moderate,rent,2,car,bad,moderate,male,84.26666666666667,Young
moderate,own,2,furniture/equipment,bad,little,male,279.53333333333336,Mature-Seniors
No checking,rent,3,business,bad,little,male,100.91666666666667,Adults
rich,own,3,car,good,moderate,female,139.1904761904762,Young
little,own,2,car,bad,little,male,228.58333333333334,Young
No checking,own,1,furniture/equipment,good,little,male,84.5,Adults
little,rent,2,furniture/equipment,good,little,female,95.53333333333333,Young
rich,own,2,business,good,little,male,149.73809523809524,Adults
No checking,own,2,radio/TV,good,moderate,female,108.38461538461539,Mature-Seniors
little,free,3,car,good,little,male,274.125,Young
moderate,own,1,radio/TV,good,little,male,72.625,Mature-Seniors
No checking,own,1,education,good,No savings,male,297.0833333333333,Adults
No checking,own,1,radio/TV,good,moderate,male,104.6,Adults
little,rent,1,radio/TV,good,No savings,male,107.55555555555556,Young
little,own,3,furniture/equipment,good,little,male,109.97222222222223,Adults
No checking,own,2,car,good,No savings,male,199.16666666666666,Mature-Seniors
No checking,own,1,furniture/equipment,good,little,female,144.66666666666666,Adults
little,own,3,car,good,little,male,128.56666666666666,Mature-Seniors
No checking,own,2,radio/TV,good,little,male,67.0,Adults
little,free,2,radio/TV,bad,little,male,41.0,Young
moderate,own,2,car,good,moderate,male,101.68888888888888,Young
